treated,control
13527010,35362010
50974020,19738010
52749010,51203010
79162010,40919010
33276020,18525020
18992010,42281010
48970010,38887020
40002010,36199020
10941010,40011010
86704010,78648010
35793020,53071010
16935010,25264010
32048010,21997010
17050020,76081010
64757010,24231010
43135020,32855020
83181010,73920020
54201010,30792010
59347010,42568010
17980020,23366020
87641020,23529010
49137010,49645010
25138010,41248010
59884010,25253020
31766020,62179010
47230010,22522020
21210010,82522020
81313010,84725010
35258010,74167010
78114020,46583010
79549010,82207010
76362010,50585020
36889010,53874010
59696010,45406010
21422010,44522010
53027010,83829020
14996010,39900010
36227010,82179020
78465020,51188010
45687010,11347020
18345020,13241010
33392010,50375020
13238010,43532010
45329010,77066010
62183010,82247010
59795020,73030020
22726010,20770010
51522020,50452020
73292010,62814010
34222020,85432020
40983010,80845010
56458010,207574020
46219020,42828010
82551020,33518020
84558010,83103010
56469010,58332010
21725020,36684020
71259010,33302020
71305010,19167010
31912020,84501020
72133010,14803010
45213020,79907010
16116020,38768010
48131010,53828020
12948010,15981010
11241010,31408010
36077010,50635020
78687020,60324010
43179010,81849010
24684010,37477010
17184010,87295010
59465010,60513010
79292010,58931010
15189010,81173020
14830010,38017020
84903010,77819010
42503010,85482010
23627020,44300020
87699010,17319010
75596010,39185010
74053010,58493010
49199020,50380020
51184010,60419010
56560010,17480010
35888010,23677010
46826010,15935010
81198020,49377020
50906010,43113020
49801020,32700010
47680020,12744010
79157010,57339010
62753020,43601010
56515010,88273010
43459010,19110010
38932020,79442020
78178010,72350010
86896010,19049010
43468010,23140010
77401020,49204010
38698010,42645020
89277010,46960010
83860020,38496020
39505020,20448020
55625010,82371010
12161010,39970020
75903010,19501010
73391010,40552010
22973010,13815010
53301020,203236010
78886010,84196010
35201010,38784010
48877010,43257010
14201010,23734010
34678010,31347010
43870020,22893020
44992010,11802020
87851010,62295020
83229020,58747010
62890010,82468020
36967010,83914020
37942010,36201010
21081010,41901010
13738020,38951010
47711020,53782020
22267010,72761020
20315020,34769020
44350010,45749010
73779020,57894010
48819010,21693010
24218010,65428010
45715020,32658010
87382010,85984010
60196010,50923010
18442010,52361010
34763010,90636010
34135010,39492010
45168010,21863020
14830020,11907020
72365010,43686010
21040020,36142020
80462020,19154010
33121010,53273010
73058010,77882010
34371010,84194020
11549020,45852010
72859010,41046020
36040010,16698010
48483010,37253020
78581010,84201010
19950010,43856010
18439010,75927010
22333010,34437020
21368010,14349010
59736010,61000020
37942020,45889010
52105010,47855020
13296010,24168010
14701010,30190010
53940010,49003010
81266010,60299010
33288010,38475010
44883020,23406010
56282010,24107020
20549010,33604010
42248010,63568010
31568010,75970010
72314010,73442010
11862020,48982010
19537010,208867020
81380010,40503020
16420010,23582020
72431010,205265020
57627010,33827020
50763020,42050010
22936010,37053020
22574010,38516020
86081020,22330010
59086010,76933010
24107010,83842010
72504010,48013020
17031020,35167020
88272020,81173010
48604020,32480010
20042010,51373010
71075020,22905020
50665010,22289020
82401020,38525010
31514010,81561010
83920010,47597020
48228020,85577020
75134010,52270020
73666010,19351010
51185010,16433010
59760010,57209010
16770010,34285010
48825010,54514010
54763020,54772010
47582020,81059020
21268020,53102010
60612010,60502010
56030010,84287010
52537010,22450020
44260010,49378010
80335010,82501010
88272010,43627010
71771010,76124010
59467010,75504010
10225010,15293010
41240010,84835020
21464020,81005010
84443010,34126010
75779010,76813020
24382010,53546020
52904020,20306020
13433020,58950010
61375010,77849020
84399010,35688020
59430010,35797010
65861010,71853010
37933010,22789010
39275020,16933020
51863020,24420010
96075010,18483010
60458010,58633010
85332010,41212010
87044010,73406010
42355020,65882020
15911020,54498010
16846010,47477020
62432020,88206020
13816010,40718020
72535010,17235010
19564010,51251010
32991020,36203010
47764010,24660020
81879020,73056010
60370010,61203020
20405010,22203010
43587020,64868020
59418010,58907010
60084010,81053010
51865020,23621010
74368010,38916010
47514010,48984020
16989010,48988010
17833020,74744010
36040020,76691020
74597020,75061020
22731020,20861010
48823010,38510010
57506010,45376010
37503020,76884020
95275010,46012010
80387010,21011010
34795010,13089020
71818020,59897010
10571010,58678010
39189010,30873010
21302010,20162010
79479010,41590010
11379020,43769010
42155010,43525020
53898010,80715020
52112020,90363020
86457020,48482010
84272020,41547010
22574020,82472010
15148010,36170010
14149020,52985020
57296010,51387020
65550010,36753010
88124010,62132010
18360010,22383010
87200010,10481020
12183010,34086010
73025010,56550010
12513020,36770010
57669010,79771010
18199020,22034020
85489020,44307010
25097010,201129020
47764020,18435010
59179010,72912010
59283010,82092010
50181020,21233010
52946010,50528020
19988010,50257010
35838020,83899010
58567020,51577010
80892020,48987020
85530010,48401020
38762020,83020010
59688010,81521010
75699010,35507020
48681010,86999010
18508010,37776010
97589010,47583020
43532020,64386020
64391010,64722020
65834010,18613010
13573020,74507010
74372010,57142010
38509020,36813020
37428020,84005010
19403010,79669010
61302020,40447020
60553020,79416010
22930020,81563020
51106020,22106010
48528010,13142020
52277010,16736010
24161010,32360010
23049010,83014010
19973010,33842020
51550020,24539010
76623010,34095010
71765020,55088020
57130010,35793010
16810010,47484010
84788010,11218010
86289010,95650010
15625010,47378010
12586010,39058010
54098020,16407010
37352020,45555010
53076020,12145020
77001020,71856010
73906010,52427010
42884010,53472010
47136020,72308010
50223010,84101010
45183010,33183010
60278020,78987020
61060010,33320020
60771010,61215010
16973020,82425020
23323020,13318010
23079010,36677020
44003020,16233010
39582010,22576020
61077020,47565010
16672010,52541010
72187010,12162010
51302010,65116010
48327010,50591010
34884020,39784020
13418010,76592010
10902010,76338010
76111020,17279010
55917020,86286010
34395010,79907020
54735020,37253010
77861010,50287010
57297010,85173020
11932020,36126010
77642010,40272010
81920010,12690010
79505010,35786010
59599010,73924010
39257020,41425020
83943010,50180020
76689010,39951010
81844020,15436020
58804020,14359010
39370010,45895010
76997010,54617010
35962020,14624010
31995010,57624010
25119010,32801010
