treated,control
50214010,39357010
51466010,77317010
65170010,43944010
11876010,18774020
10196010,52928010
78723010,16407010
74372020,53674020
11067020,48114010
42565010,82041010
56030010,85979020
60701010,60222020
44420020,75464010
73656010,20438010
80204020,81814010
54763020,32185010
71197020,31632020
70886010,20678010
48124010,43047020
44647020,82323010
54818010,11936010
86081010,75411010
10451010,34279010
33808010,57516010
15897020,72004010
75664010,48531020
84119010,32463010
74319010,16048020
51863020,24978010
37907010,57253020
12736010,84729010
58962010,75515020
87587010,46493010
59895020,54772010
81925010,45133010
43284010,10477020
21725020,43787020
13706010,18632020
71771010,58053010
80892020,25557010
87851010,21693010
54201010,79613010
50726010,38510010
73624010,85214010
87044010,31770020
30607020,78565020
12010020,15591010
87699010,59931010
30950010,21774010
61143010,50523010
38892020,60837010
34026010,86269010
53730020,80075020
51306010,56419010
14783010,13734020
51698010,23488020
71483020,20501020
83860020,34863010
78339020,22026020
13671010,21863010
15889010,48995020
23817010,35820020
47070020,35008010
47061010,78780010
23965020,15593020
46443020,15436010
41129020,48479020
79089010,21946010
18831010,52221010
19904020,80353010
40983010,48615010
21468020,21058020
13194010,33879010
54098020,42943020
53969020,14028020
87648010,87297010
49801020,52176020
16710010,77883010
78687020,19786010
43135010,58950020
52277010,45923010
97589010,40441020
77401020,80118010
12513010,73763010
42583010,19454010
16558010,44080020
75779010,78404010
60716010,18725020
23254020,52545010
11549020,73093010
48568010,75031010
22348010,22330020
78445010,37216010
40223020,74350010
87361010,16856010
23186010,39755010
25343010,12756010
55012020,46252020
24880020,11907010
74716010,47445020
38496010,39437010
40123010,46322010
23119020,51515010
71823010,11907020
13583020,76626010
16925010,23489020
82096010,84196010
45457020,37546010
32552010,33321010
62432020,85217020
31626020,82796010
33214010,87066010
38876020,50138020
25245010,76870020
25119010,15015020
81333010,51228010
56560010,80712010
25509010,40155010
14270010,65495010
20553010,81804010
51184010,13142020
41979010,84287010
14308010,41350010
81113010,40717010
34884010,11368010
24039020,73053010
45029020,46391010
20876010,73485020
94679010,31608010
33902010,33320010
87693010,73853010
56753010,74103010
58405020,42005010
22731010,84798020
53279010,30331010
50786010,35903020
39626010,16048010
21835010,17237010
48828010,85602020
31568010,15995020
34533010,61226010
80757010,81005010
55975010,32877020
55151010,20142010
58125020,12762010
21904010,16161020
82742010,23303020
38785010,84964010
42001010,43906010
24341010,14098020
11798010,59693010
41798010,82952010
36386020,31168010
53148020,86517020
47009010,72761010
21081010,76439010
12455010,78133010
51863010,33677010
11074020,58251010
11505010,47848010
42155010,85226010
23323020,17785020
73323010,86269020
71788010,60530010
18304020,58249010
50437020,33677020
51658010,33303020
63733010,83416010
60084010,41899010
77861010,78197010
56540010,16599010
30229010,202182020
42123010,49697010
54137010,47707020
61375010,75577010
75511010,72216020
15911020,50823010
36450010,45984010
16935010,56087020
54362010,52854010
48823010,75263010
54534020,45555010
48250020,88047020
35601020,59935010
42884010,15987020
73025020,79073020
71987010,33951010
83535010,81561010
11765010,76130010
25181010,73568010
63893010,43624010
47992010,58219010
15636010,17588010
207794020,54289020
50665010,86324010
10571010,55470010
57669010,43769010
53442020,38406020
59418010,52460020
23830010,51476020
41240010,36683020
83592020,32443010
15739010,19373010
12112020,39875010
44334010,14359010
30693010,10395010
56287010,80115020
60397010,12172010
35265010,22289020
49128010,72506010
60768020,31210010
38698010,47718020
78392020,59036010
17134010,46571010
58405010,51538020
52384010,38516020
47255020,74487010
83943010,74036010
46972010,11656010
20913010,60330020
32991010,72942010
36388010,78357010
23609020,17480010
14157010,87114010
55250010,12145020
81041010,45443020
75838010,64992010
55756010,76643020
23348010,83899010
86102010,22340010
12605010,60136010
40081010,41472010
12852020,79365020
10299010,54272020
83175010,71999020
18345010,58260010
60404010,33242020
12174010,47926010
84298010,22162010
86653010,60435010
90772010,62132010
76997010,35824010
10592010,40475020
42764020,49542010
52037010,47720020
46787010,81816020
50428020,14568010
16761010,62744010
73323020,31830010
44350010,43628020
